Model Type,Neighborhood Size,Time Step,Mean Entropy,Std Entropy,N Samples
Mixture NCA,1,0,0.23927590250968933,6.430692883441225e-05,20
Mixture NCA,1,1,0.23915675282478333,9.713425242807716e-05,20
Mixture NCA,1,2,0.238993838429451,0.000133361536427401,20
Mixture NCA,1,3,0.23878876864910126,0.00016803923062980175,20
Mixture NCA,1,4,0.2385541945695877,0.00020895821216981858,20
Mixture NCA,1,5,0.23832491040229797,0.000239505447098054,20
Mixture NCA,1,6,0.2381136417388916,0.0002630583185236901,20
Mixture NCA,1,7,0.23792707920074463,0.00027962925378233194,20
Mixture NCA,1,8,0.2377595603466034,0.0002962287107948214,20
Mixture NCA,1,9,0.23760148882865906,0.0003260104567743838,20
Mixture NCA,1,10,0.23745766282081604,0.0003598429320845753,20
Mixture NCA,1,11,0.23732170462608337,0.0004031312419101596,20
Mixture NCA,1,12,0.23719103634357452,0.0004376920987851918,20
Mixture NCA,1,13,0.23706459999084473,0.0004688142507802695,20
Mixture NCA,1,14,0.23694446682929993,0.0005163929890841246,20
Mixture NCA,1,15,0.23683221638202667,0.0005635154084302485,20
Mixture NCA,1,16,0.2367289811372757,0.000616830715443939,20
Mixture NCA,1,17,0.23663835227489471,0.0006642891676165164,20
Mixture NCA,1,18,0.2365577518939972,0.0007110192673280835,20
Mixture NCA,1,19,0.2364824116230011,0.0007610601023770869,20
Mixture NCA,1,20,0.23640652000904083,0.0008108927286230028,20
Mixture NCA,1,21,0.23633751273155212,0.0008597073028795421,20
Mixture NCA,1,22,0.23627956211566925,0.0009028242202475667,20
Mixture NCA,1,23,0.23622898757457733,0.0009386905003339052,20
Mixture NCA,1,24,0.23618896305561066,0.0009682777454145253,20
Mixture NCA,1,25,0.23616211116313934,0.000986614148132503,20
Mixture NCA,1,26,0.23614051938056946,0.0009992091218009591,20
Mixture NCA,1,27,0.2361215353012085,0.0010096246842294931,20
Mixture NCA,1,28,0.236106276512146,0.0010193659691140056,20
Mixture NCA,1,29,0.236094668507576,0.0010258345864713192,20
Mixture NCA,1,30,0.23608307540416718,0.001027689897455275,20
Mixture NCA,1,31,0.23607201874256134,0.0010319470893591642,20
Mixture NCA,1,32,0.23606045544147491,0.0010370692471042275,20
